,scene_id,class,start,goal,rx,ry
0,Scene1,Agent-0,7-9_L4_17,7-9_L0_17,"[1488, 1528, 1568]","[4400, 4400, 4400]"
1,Scene1,Agent-1,7-9_L2_15,7-9_L1_22,"[1528, 1528, 1568, 1568, 1568, 1568]","[4504, 4400, 4296, 4192, 4080, 3976]"
2,Scene1,Agent-2,7-9_L3_10,7-9_L0_12,"[1528, 1568]","[5144, 5040]"
3,Scene1,Agent-3,7-9_L3_6,7-9_L1_8,[1528],[5464]
4,Scene1,Agent-4,8-10_L3_7,8-10_L2_14,"[2408, 2408, 2448, 2448, 2448, 2448]","[5352, 5248, 5144, 5032, 4928, 4824]"
